observation_name	ADT_ST_ISS_XXX_01	ADT_ST_ISS_XXX_02	ADT_ST_ISS_XXX_03	ADT_ST_ISS_XXX_04	ADT_ST_ISS_XXX_05	ADT_ST_ISS_XXX_06	ADT_ST_ISS_XXX_07	ADT_ST_ISS_XXX_08	ADT_ST_ISS_XXX_09	ADT_ST_ISS_XXX_10	FRT_BL_CAR_UNF_XX	FRT_BL_CAR_UNO_XX	FRT_BL_ISL_UNF_XX	FRT_BL_ISL_UNO_XX	FRT_BL_MAZ_INF_01	FRT_BL_MAZ_INF_02	FRT_BL_MAZ_UNF_01	FRT_BL_MAZ_UNF_02	FRT_BL_MAZ_UNF_03	FRT_BL_MAZ_UNF_04	FRT_ST_ISS_IND_XX	FRT_ST_ISS_INM_XX	FRT_ST_ISS_UNF_01	FRT_ST_ISS_UNF_02	FRT_ST_ISS_UNF_03	FRT_ST_ISS_UNF_04	FRT_ST_ISS_UNF_05	FRT_ST_ISS_UNF_06	FRT_ST_ISS_UNF_XX	FRT_ST_ISS_UNO_XX	FRT_ST_MAZ_UNF_01	FRT_ST_MAZ_UNF_02	FRT_ST_MAZ_UNF_03	FRT_ST_MAZ_UNF_04	FRT_ST_MAZ_UNF_05	LRV_BB_MAZ_XXX_01	LRV_BB_MAZ_XXX_02	LRV_BB_MAZ_XXX_03	LRV_ST_ISS_XXX_01	LRV_ST_ISS_XXX_02	PUC_ST_ISS_XXX_01	PUC_ST_ISS_XXX_02	PUC_ST_ISS_XXX_03	PUC_ST_ISS_XXX_04	PUC_ST_ISS_XXX_05	PUC_ST_ISS_XXX_06	PUC_ST_ISS_XXX_07	PUC_ST_ISS_XXX_08	PUC_ST_ISS_XXX_09	PUC_ST_ISS_XXX_10	PUP_ST_ISS_XXX_01	PUP_ST_ISS_XXX_02	PUP_ST_ISS_XXX_03	PUP_ST_ISS_XXX_04	PUP_ST_ISS_XXX_05	PUP_ST_ISS_XXX_06	PUP_ST_ISS_XXX_07	PUP_ST_ISS_XXX_08	PUP_ST_ISS_XXX_09	PUP_ST_ISS_XXX_10	PUP_ST_ISS_XXX_11	PUP_ST_ISS_XXX_12
Cluster_172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	98	0	0	7	0	0	0
Cluster_175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Cluster_176	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	85	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_178	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_179	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	76	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_182	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Cluster_183	0	0	0	2	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_184	0	0	0	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
